,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Interval_Between_Most_Prevalent_Pitches,Interval_Between_Most_Prevalent_Pitch_Classes,Number_of_Common_Pitches,Pitch_Variety,Pitch_Class_Variety,Range,Most_Common_Pitch,Mean_Pitch,Importance_of_Bass_Register,Importance_of_Middle_Register,Importance_of_High_Register,Most_Common_Pitch_Class,Dominant_Spread,Strong_Tonal_Centres,Major_or_Minor,Glissando_Prevalence,Average_Range_of_Glissandos,Vibrato_Prevalence,Microtone_Prevalence,Most_Common_Melodic_Interval,Mean_Melodic_Interval,Number_of_Common_Melodic_Intervals,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Minor_Major_Melodic_Third_Ratio,Melodic_Embellishments,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Average_Number_of_Simultaneous_Pitch_Classes,Variability_of_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Variability_of_Number_of_Simultaneous_Pitches,Most_Common_Vertical_Interval,Second_Most_Common_Vertical_Interval,Distance_Between_Two_Most_Common_Vertical_Intervals,Prevalence_of_Most_Common_Vertical_Interval,Prevalence_of_Second_Most_Common_Vertical_Interval,Prevalence_Ratio_of_Two_Most_Common_Vertical_Intervals,Vertical_Unisons,Vertical_Minor_Seconds,Vertical_Thirds,Vertical_Tritones,Vertical_Perfect_Fourths,Vertical_Perfect_Fifths,Vertical_Sixths,Vertical_Sevenths,Vertical_Octaves,Perfect_Vertical_Intervals,Vertical_Dissonance_Ratio,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Chord_Duration,Partial_Chords,Standard_Triads,Diminished_and_Augmented_Triads,Dominant_Seventh_Chords,Seventh_Chords,Non-Standard_Chords,Complex_Chords,Minor_Major_Triad_Ratio,Strongest_Rhythmic_Pulse,Second_Strongest_Rhythmic_Pulse,Harmonicity_of_Two_Strongest_Rhythmic_Pulses,Strength_of_Strongest_Rhythmic_Pulse,Strength_of_Second_Strongest_Rhythmic_Pulse,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses,Number_of_Strong_Rhythmic_Pulses,Number_of_Moderate_Rhythmic_Pulses,Number_of_Relatively_Strong_Rhythmic_Pulses,Rhythmic_Looseness,Polyrhythms,Rhythmic_Variability,Note_Density,Note_Density_Variability,Average_Note_Duration,Variability_of_Note_Durations,Maximum_Note_Duration,Minimum_Note_Duration,Amount_of_Staccato,Average_Time_Between_Attacks,Variability_of_Time_Between_Attacks,Average_Time_Between_Attacks_for_Each_Voice,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Complete_Rests,Longest_Complete_Rest,Average_Rest_Fraction_Per_Voice,Variability_Across_Voices_of_Total_Rests_Per_Voice,Initial_Tempo,Compound_Or_Simple_Meter,Triple_Meter,Quintuple_Meter,Metrical_Diversity,Duration,Variability_of_Note_Prevalence_of_Pitched_Instruments,Variability_of_Note_Prevalence_of_Unpitched_Instruments,Number_of_Pitched_Instruments,Number_of_Unpitched_Instruments,Percussion_Instrument_Prevalence,String_Keyboard_Prevalence,Acoustic_Guitar_Prevalence,Electric_Guitar_Prevalence,Violin_Prevalence,Saxophone_Prevalence,Brass_Prevalence,Woodwinds_Prevalence,Orchestral_Strings_Prevalence,String_Ensemble_Prevalence,Electric_Instrument_Prevalence,Maximum_Number_of_Independent_Voices,Average_Number_of_Independent_Voices,Variability_of_Number_of_Independent_Voices,Voice_Equality_-_Number_of_Notes,Voice_Equality_-_Note_Duration,Voice_Equality_-_Dynamics,Voice_Equality_-_Melodic_Leaps,Voice_Equality_-_Range,Importance_of_Loudest_Voice,Relative_Range_of_Loudest_Voice,Relative_Range_Isolation_of_Loudest_Voice,Relative_Range_of_Highest_Line,Relative_Note_Density_of_Highest_Line,Relative_Note_Durations_of_Lowest_Line,Relative_Size_of_Melodic_Intervals_in_Lowest_Line,Voice_Overlap,Voice_Separation,Variability_of_Voice_Separation,Parallel_Motion,Similar_Motion,Contrary_Motion,Oblique_Motion,Parallel_Fifths,Parallel_Octaves,Dynamic_Range,Variation_of_Dynamics,Variation_of_Dynamics_In_Each_Voice,Average_Note_to_Note_Change_in_Dynamics
"/home/irisren/Dropbox/MIREX/groundTruth/allmidi/1bachBWV889Fg-monophonic-repeatedPatterns-bruhn-A-occurrences-midi-occ1.midi.mid",0.2222, 0.2222, 1.0, 1.0, 4.0, 4.0, 7.0, 7.0, 7.0, 76.0, 72.0, 65.0, 0.1111, 0.4444, 0.4444, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 13.38, 6.0, 1.0, 0.25, 1.0, 0.375, 0.0, 0.0, 0.0, 0.375, 0.25, 0.125, 0.0, 0.125, 0.0, 0.0, 0.125, 0.5, 0.0, 0.375, 1.333, 5.333, 6.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3519, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 118.0, 60.0, 1.967, 0.4537, 0.1821, 2.492, 0.6358, 3.0, 5.0, 3.0, 0.0, 0.6667, 0.04201, 2.25, 0.0, 0.3611, 0.1318, 0.5, 0.25, 0.0, 0.4896, 0.3273, 0.4896, 0.3273, 0.2353, 1.99, 0.2941, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.25, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 7.222, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 89.0, 29.67, 29.67, 9.889
"/home/irisren/Dropbox/MIREX/groundTruth/allmidi/1bachBWV889Fg-monophonic-repeatedPatterns-bruhn-A-occurrences-midi-occ2.midi.mid",0.2222, 0.2222, 1.0, 1.0, 4.0, 4.0, 7.0, 7.0, 6.0, 81.0, 77.0, 69.0, 0.1111, 0.0, 0.8889, 1.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 14.0, 6.0, 1.0, 0.25, 1.0, 0.375, 0.0, 0.0, 0.0, 0.375, 0.25, 0.125, 0.0, 0.125, 0.0, 0.0, 0.125, 0.5, 0.0, 0.375, 1.333, 5.333, 6.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3519, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 118.0, 60.0, 1.967, 0.4537, 0.1821, 2.492, 0.6358, 3.0, 5.0, 3.0, 0.0, 0.6667, 0.04201, 2.25, 0.0, 0.3611, 0.1318, 0.5, 0.25, 0.0, 0.4896, 0.3273, 0.4896, 0.3273, 0.2353, 1.99, 0.2941, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.25, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 7.667, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 89.0, 29.67, 29.67, 9.889
"/home/irisren/Dropbox/MIREX/groundTruth/allmidi/1bachBWV889Fg-monophonic-repeatedPatterns-bruhn-A-occurrences-midi-occ3.midi.mid",0.2222, 0.2222, 1.0, 1.0, 4.0, 4.0, 7.0, 7.0, 7.0, 64.0, 60.0, 54.0, 0.1111, 0.8889, 0.0, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 11.88, 6.0, 1.0, 0.25, 1.0, 0.375, 0.0, 0.0, 0.0, 0.375, 0.25, 0.125, 0.0, 0.125, 0.0, 0.0, 0.125, 0.5, 0.0, 0.375, 1.333, 5.333, 6.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3519, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 118.0, 60.0, 1.967, 0.4537, 0.1821, 2.492, 0.6358, 3.0, 5.0, 3.0, 0.0, 0.6667, 0.04201, 2.25, 0.0, 0.3611, 0.1318, 0.5, 0.25, 0.0, 0.4896, 0.3273, 0.4896, 0.3273, 0.2353, 1.99, 0.2941, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.25, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 6.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 89.0, 29.67, 29.67, 9.889
"/home/irisren/Dropbox/MIREX/groundTruth/allmidi/1bachBWV889Fg-monophonic-repeatedPatterns-bruhn-A-occurrences-midi-occ4.midi.mid",0.2222, 0.2222, 1.0, 1.0, 3.0, 3.0, 7.0, 7.0, 7.0, 56.0, 52.0, 46.0, 0.6667, 0.3333, 0.0, 4.0, 5.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 10.75, 5.0, 2.0, 0.375, 0.6667, 0.5, 0.0, 0.0, 0.0, 0.375, 0.25, 0.125, 0.0, 0.0, 0.125, 0.0, 0.125, 0.0, 0.0, 0.375, 1.333, 5.333, 6.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.338, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 118.0, 40.0, 2.95, 0.4527, 0.1811, 2.5, 0.6338, 3.0, 5.0, 3.0, 0.0, 0.6667, 0.04189, 2.25, 0.0, 0.3472, 0.1215, 0.5, 0.25, 0.0, 0.5052, 0.3303, 0.5052, 0.3303, 0.2857, 1.865, 0.3143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.375, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 5.111, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 89.0, 29.67, 29.67, 9.889
"/home/irisren/Dropbox/MIREX/groundTruth/allmidi/1bachBWV889Fg-monophonic-repeatedPatterns-bruhn-A-occurrences-midi-occ5.midi.mid",0.2222, 0.2222, 1.0, 1.0, 4.0, 4.0, 7.0, 7.0, 7.0, 52.0, 48.0, 43.0, 1.0, 0.0, 0.0, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 10.38, 6.0, 1.0, 0.25, 1.0, 0.375, 0.0, 0.0, 0.0, 0.375, 0.25, 0.125, 0.0, 0.125, 0.0, 0.0, 0.125, 0.5, 0.0, 0.375, 1.333, 5.333, 6.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3241, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 118.0, 60.0, 1.967, 0.4537, 0.1821, 2.492, 0.6358, 3.0, 5.0, 3.0, 0.0, 0.6667, 0.04201, 2.25, 0.0, 0.3333, 0.125, 0.5, 0.25, 0.0, 0.4896, 0.3273, 0.4896, 0.3273, 0.2941, 1.74, 0.5294, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.25, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 4.778, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 89.0, 29.67, 29.67, 9.889
"/home/irisren/Dropbox/MIREX/groundTruth/allmidi/1bachBWV889Fg-monophonic-repeatedPatterns-bruhn-A-occurrences-midi-occ6.midi.mid",0.2222, 0.2222, 1.0, 1.0, 2.0, 2.0, 7.0, 7.0, 7.0, 83.0, 79.0, 71.0, 0.1111, 0.0, 0.8889, 7.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 14.0, 7.0, 3.0, 0.25, 0.5, 0.25, 0.0, 0.0, 0.125, 0.25, 0.25, 0.125, 0.0, 0.125, 0.0, 0.0, 0.125, 1.0, 0.0, 0.375, 1.333, 5.0, 5.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3519, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 118.0, 60.0, 1.967, 0.4537, 0.1821, 2.492, 0.6358, 3.0, 5.0, 3.0, 0.0, 0.6667, 0.04201, 2.25, 0.0, 0.3611, 0.1318, 0.5, 0.25, 0.0, 0.4896, 0.3273, 0.4896, 0.3273, 0.2353, 1.99, 0.2941, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.25, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 7.889, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 89.0, 29.67, 29.67, 9.889
"/home/irisren/Dropbox/MIREX/groundTruth/allmidi/1bachBWV889Fg-monophonic-repeatedPatterns-bruhn-A-occurrences-midi-occ7.midi.mid",0.2222, 0.2222, 1.0, 1.0, 2.0, 2.0, 7.0, 7.0, 7.0, 71.0, 67.0, 60.0, 0.1111, 0.8889, 0.0, 7.0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 12.5, 7.0, 3.0, 0.25, 0.5, 0.25, 0.0, 0.0, 0.125, 0.25, 0.25, 0.125, 0.0, 0.125, 0.0, 0.0, 0.125, 1.0, 0.0, 0.375, 1.333, 5.0, 5.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3519, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 118.0, 60.0, 1.967, 0.4537, 0.1821, 2.492, 0.6358, 3.0, 5.0, 3.0, 0.0, 0.6667, 0.04201, 2.25, 0.0, 0.3611, 0.1318, 0.5, 0.25, 0.0, 0.4896, 0.3273, 0.4896, 0.3273, 0.2353, 1.99, 0.2941, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.25, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 6.667, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 89.0, 29.67, 29.67, 9.889
"/home/irisren/Dropbox/MIREX/groundTruth/allmidi/1bachBWV889Fg-monophonic-repeatedPatterns-bruhn-A-occurrences-midi-occ8.midi.mid",0.25, 0.25, 0.5, 0.5, 59.0, 1.0, 7.0, 7.0, 7.0, 64.0, 60.0, 53.0, 0.125, 0.875, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 13.0, 6.0, 2.0, 0.2857, 0.5, 0.2857, 0.0, 0.0, 0.0, 0.2857, 0.2857, 0.1429, 0.0, 0.1429, 0.0, 0.0, 0.1429, 1.0, 0.0, 0.4286, 1.4, 5.6, 6.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3346, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 118.0, 48.0, 2.458, 0.4986, 0.1257, 3.967, 0.6243, 5.0, 5.0, 1.0, 0.0, 1.0, 0.04368, 2.667, 0.0, 0.3438, 0.1294, 0.5, 0.25, 0.0, 0.4896, 0.3536, 0.4896, 0.3536, 0.2667, 1.74, 0.4667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.75, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 6.625, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 89.0, 31.47, 31.47, 11.12
"/home/irisren/Dropbox/MIREX/groundTruth/allmidi/1bachBWV889Fg-monophonic-repeatedPatterns-bruhn-B-occurrences-midi-occ1.midi.mid",0.1724, 0.2069, 0.8, 0.8333, 1.0, 11.0, 6.0, 12.0, 8.0, 83.0, 71.0, 71.0, 0.03448, 0.4483, 0.5172, 11.0, 7.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.179, 2.0, 1.0, 0.6071, 0.4706, 0.07143, 0.03571, 0.2857, 0.8929, 0.03571, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03571, 0.0, 0.0, 0.3333, 2.7, 4.6, 3.176, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.115, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 118.0, 105.0, 1.124, 0.08711, 0.07882, 1.105, 0.1659, 0.0, 20.0, 19.0, 0.0, 0.1579, 0.01747, 9.667, 0.0, 0.1207, 0.118, 0.5, 0.0625, 0.7586, 0.1146, 0.1521, 0.1146, 0.1521, 0.06667, 3.24, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.75, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.448, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 89.0, 16.53, 16.53, 3.069
"/home/irisren/Dropbox/MIREX/groundTruth/allmidi/1bachBWV889Fg-monophonic-repeatedPatterns-bruhn-B-occurrences-midi-occ2.midi.mid",0.1724, 0.1724, 0.8, 1.0, 1.0, 1.0, 6.0, 12.0, 10.0, 68.0, 56.0, 57.0, 0.1724, 0.8276, 0.0, 8.0, 5.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.571, 2.0, 1.0, 0.5714, 0.5625, 0.07143, 0.03571, 0.3214, 0.8929, 0.03571, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03571, 0.0, 0.0, 0.3333, 2.7, 4.4, 3.176, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.106, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 118.0, 105.0, 1.124, 0.08715, 0.07886, 1.105, 0.166, 0.0, 20.0, 19.0, 0.0, 0.1579, 0.01748, 9.667, 0.0, 0.1121, 0.09651, 0.375, 0.0625, 0.7586, 0.1057, 0.1175, 0.1057, 0.1175, 0.07143, 2.99, 0.1429, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.5, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.966, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 89.0, 16.53, 16.53, 3.069
