tunefamily,songid,motifid,begintime,endtime,duration,startindex,endindex,numberofnotes,motifclass,description,annotator,changes
Daar_zou_er_een_maagdje_vroeg_opstaan_2,NLB015569_01,NLB015569_01_00,5,8,3,10,12,3,"1:bag","melodic","ann1",""
Daar_zou_er_een_maagdje_vroeg_opstaan_2,NLB015569_01,NLB015569_01_01,16,18,2,24,27,4,"2:dg","interval up","ann1",""
Het_was_op_een_driekoningenavond_1,NLB070033_01,NLB070033_01_00,19,21,2,25,28,4,"2:eedcba","melodic","ann3","add"
Het_was_op_een_driekoningenavond_1,NLB070033_01,NLB070033_01_01,21,24,3,29,31,3,"3:gbd","melodic","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB070053_01,NLB070053_01_00,24,53/2,5/2,32,36,5,"1:dbdg","melodic","ann3","length"
Zolang_de_boom_zal_bloeien_1,NLB070053_01,NLB070053_01_01,0,3,3,0,4,5,"1:dbdg","melodic","ann3","length"
Zolang_de_boom_zal_bloeien_1,NLB070053_01,NLB070053_01_02,12,29/2,5/2,14,18,5,"1:dbdg","melodic","ann3","length"
Zolang_de_boom_zal_bloeien_1,NLB070053_01,NLB070053_01_03,7/2,6,5/2,6,7,2,"2:fise","jump","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB070053_01,NLB070053_01_04,8,12,4,11,13,3,"3:gfised","melodic","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB070053_01,NLB070053_01_05,15,35/2,5/2,20,23,4,"4:bage","melodic","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB070053_01,NLB070053_01_06,27,59/2,5/2,38,41,4,"4:bage","melodic","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB070053_01,NLB070053_01_07,30,36,12/2,43,49,7,"5:edefisg","melodic","ann3","length"
Zolang_de_boom_zal_bloeien_1,NLB070053_01,NLB070053_01_08,35/2,24,13/2,24,31,8,"5:edefisg","melodic","ann3","length"
Het_vrouwtje_van_Stavoren_1,NLB070078_01,NLB070078_01_00,11,16,5,10,13,4,"1:deda","rhytmic+melodic","ann2","length"
Het_vrouwtje_van_Stavoren_1,NLB070078_01,NLB070078_01_01,45,49,4,39,40,2,"3:ed","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070079_01,NLB070079_01_00,4,8,4,3,5,3,"1:ca","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070079_01,NLB070079_01_01,64,70,6,46,49,4,"10:decb","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070079_01,NLB070079_01_02,70,72,2,50,51,2,"11:gg","rhytmic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070079_01,NLB070079_01_03,72,80,8,52,56,5,"12:abcag2","rhytmic+melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070079_01,NLB070079_01_04,16,20,4,12,14,3,"4:ded","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070079_01,NLB070079_01_05,22,24,2,16,17,2,"5:dc","rhytmic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070079_01,NLB070079_01_06,32,40,8,23,28,6,"7:g-g'fis","8jump+melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070079_01,NLB070079_01_07,44,48,4,32,34,3,"8:edd","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070079_01,NLB070079_01_08,56,64,8,41,45,5,"9:cdeed","rhytmic+melodic","ann2","length"
Een_lindeboom_stond_in_het_dal_1,NLB070089_01,NLB070089_01_00,12,14,2,16,19,4,"1:dbdg","melodic","ann3",""
Een_lindeboom_stond_in_het_dal_1,NLB070089_01,NLB070089_01_01,0,5/2,5/2,0,3,4,"1:dbdg","melodic","ann3",""
Een_lindeboom_stond_in_het_dal_1,NLB070089_01,NLB070089_01_02,7/2,6,5/2,5,7,3,"2:gfisc","melodic, harmonic","ann3",""
Een_lindeboom_stond_in_het_dal_1,NLB070089_01,NLB070089_01_03,81/4,23,11/4,29,32,4,"3:defisg","melodic","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB070096_01,NLB070096_01_00,24,27,3,29,32,4,"1:dbdg","melodic","ann3","length"
Zolang_de_boom_zal_bloeien_1,NLB070096_01,NLB070096_01_01,0,3,3,0,3,4,"1:dbdg","melodic","ann3","length"
Zolang_de_boom_zal_bloeien_1,NLB070096_01,NLB070096_01_02,12,15,3,14,17,4,"1:dbdg","melodic","ann3","length"
Zolang_de_boom_zal_bloeien_1,NLB070096_01,NLB070096_01_03,7/2,6,5/2,5,6,2,"2:fise","jump","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB070096_01,NLB070096_01_04,15/2,12,9/2,10,13,4,"3:gfised","melodic","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB070096_01,NLB070096_01_05,15,18,3,18,21,4,"4:bage","melodic","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB070096_01,NLB070096_01_06,27,30,3,33,36,4,"4:bage","melodic","ann3",""
Zolang_de_boom_zal_bloeien_1,NLB070096_01,NLB070096_01_07,18,24,6,22,28,7,"5:edefisg","melodic","ann3","length"
Zolang_de_boom_zal_bloeien_1,NLB070096_01,NLB070096_01_08,30,36,6,37,43,7,"5:edefisg","melodic","ann3","length"
Er_was_een_koopman_rijk_en_machtig,NLB070122_01,NLB070122_01_00,2,4,2,3,4,2,"1:ca","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070122_01,NLB070122_01_01,24,27,3,35,38,4,"10:decb","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB070122_01,NLB070122_01_02,27,28,1,39,40,2,"11:gg","rhytmic","ann2","length"
