,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Interval_Between_Most_Prevalent_Pitches,Interval_Between_Most_Prevalent_Pitch_Classes,Number_of_Common_Pitches,Pitch_Variety,Pitch_Class_Variety,Range,Most_Common_Pitch,Mean_Pitch,Importance_of_Bass_Register,Importance_of_Middle_Register,Importance_of_High_Register,Most_Common_Pitch_Class,Dominant_Spread,Strong_Tonal_Centres,Major_or_Minor,Glissando_Prevalence,Average_Range_of_Glissandos,Vibrato_Prevalence,Microtone_Prevalence,Most_Common_Melodic_Interval,Mean_Melodic_Interval,Number_of_Common_Melodic_Intervals,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Minor_Major_Melodic_Third_Ratio,Melodic_Embellishments,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Average_Number_of_Simultaneous_Pitch_Classes,Variability_of_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Variability_of_Number_of_Simultaneous_Pitches,Most_Common_Vertical_Interval,Second_Most_Common_Vertical_Interval,Distance_Between_Two_Most_Common_Vertical_Intervals,Prevalence_of_Most_Common_Vertical_Interval,Prevalence_of_Second_Most_Common_Vertical_Interval,Prevalence_Ratio_of_Two_Most_Common_Vertical_Intervals,Vertical_Unisons,Vertical_Minor_Seconds,Vertical_Thirds,Vertical_Tritones,Vertical_Perfect_Fourths,Vertical_Perfect_Fifths,Vertical_Sixths,Vertical_Sevenths,Vertical_Octaves,Perfect_Vertical_Intervals,Vertical_Dissonance_Ratio,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Chord_Duration,Partial_Chords,Standard_Triads,Diminished_and_Augmented_Triads,Dominant_Seventh_Chords,Seventh_Chords,Non-Standard_Chords,Complex_Chords,Minor_Major_Triad_Ratio,Strongest_Rhythmic_Pulse,Second_Strongest_Rhythmic_Pulse,Harmonicity_of_Two_Strongest_Rhythmic_Pulses,Strength_of_Strongest_Rhythmic_Pulse,Strength_of_Second_Strongest_Rhythmic_Pulse,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses,Number_of_Strong_Rhythmic_Pulses,Number_of_Moderate_Rhythmic_Pulses,Number_of_Relatively_Strong_Rhythmic_Pulses,Rhythmic_Looseness,Polyrhythms,Rhythmic_Variability,Note_Density,Note_Density_Variability,Average_Note_Duration,Variability_of_Note_Durations,Maximum_Note_Duration,Minimum_Note_Duration,Amount_of_Staccato,Average_Time_Between_Attacks,Variability_of_Time_Between_Attacks,Average_Time_Between_Attacks_for_Each_Voice,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Complete_Rests,Longest_Complete_Rest,Average_Rest_Fraction_Per_Voice,Variability_Across_Voices_of_Total_Rests_Per_Voice,Initial_Tempo,Compound_Or_Simple_Meter,Triple_Meter,Quintuple_Meter,Metrical_Diversity,Duration,Variability_of_Note_Prevalence_of_Pitched_Instruments,Variability_of_Note_Prevalence_of_Unpitched_Instruments,Number_of_Pitched_Instruments,Number_of_Unpitched_Instruments,Percussion_Instrument_Prevalence,String_Keyboard_Prevalence,Acoustic_Guitar_Prevalence,Electric_Guitar_Prevalence,Violin_Prevalence,Saxophone_Prevalence,Brass_Prevalence,Woodwinds_Prevalence,Orchestral_Strings_Prevalence,String_Ensemble_Prevalence,Electric_Instrument_Prevalence,Maximum_Number_of_Independent_Voices,Average_Number_of_Independent_Voices,Variability_of_Number_of_Independent_Voices,Voice_Equality_-_Number_of_Notes,Voice_Equality_-_Note_Duration,Voice_Equality_-_Dynamics,Voice_Equality_-_Melodic_Leaps,Voice_Equality_-_Range,Importance_of_Loudest_Voice,Relative_Range_of_Loudest_Voice,Relative_Range_Isolation_of_Loudest_Voice,Relative_Range_of_Highest_Line,Relative_Note_Density_of_Highest_Line,Relative_Note_Durations_of_Lowest_Line,Relative_Size_of_Melodic_Intervals_in_Lowest_Line,Voice_Overlap,Voice_Separation,Variability_of_Voice_Separation,Parallel_Motion,Similar_Motion,Contrary_Motion,Oblique_Motion,Parallel_Fifths,Parallel_Octaves,Dynamic_Range,Variation_of_Dynamics,Variation_of_Dynamics_In_Each_Voice,Average_Note_to_Note_Change_in_Dynamics
"/home/irisren/Dropbox/Patternfeatures/expatmidi/MP/patternmid-0-NLB111478_01.mid",0.2, 0.2, 0.8333, 1.0, 5.0, 3.0, 7.0, 8.0, 7.0, 12.0, 72.0, 69.0, 0.0, 0.8333, 0.1667, 0.0, 6.0, 2.0, 0.0, 0.03333, 0.0, 0.0, 0.03333, 2.0, 2.034, 4.0, 2.0, 0.3793, 0.4545, 0.4138, 0.1724, 0.1724, 0.5517, 0.2414, 0.0, 0.0, 0.0, 0.03448, 0.0, 0.0, 0.0, 2.5, 0.0, 0.4167, 4.0, 7.833, 7.227, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4395, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 120.0, 60.0, 2.0, 0.2473, 0.2043, 1.211, 0.4516, 5.0, 5.0, 5.0, 0.0, 0.6, 0.0351, 2.5, 1.146, 0.3667, 0.1572, 0.75, 0.25, 0.0, 0.3616, 0.1579, 0.3616, 0.1579, 0.08333, 11.5, 0.08333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.3, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"/home/irisren/Dropbox/Patternfeatures/expatmidi/MP/patternmid-1-NLB125421_01.mid",0.2, 0.2, 0.8333, 0.8333, 7.0, 3.0, 6.0, 8.0, 7.0, 12.0, 74.0, 70.0, 0.0, 0.6667, 0.3333, 2.0, 6.0, 2.0, 0.0, 0.03333, 0.0, 0.0, 0.03333, 2.0, 2.172, 4.0, 1.0, 0.4138, 0.5, 0.4138, 0.1379, 0.1379, 0.5517, 0.2759, 0.0, 0.0, 0.0, 0.03448, 0.0, 0.0, 0.0, 3.0, 0.0, 0.44, 3.125, 7.375, 7.091, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.437, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 120.0, 60.0, 2.0, 0.2418, 0.2088, 1.158, 0.4505, 5.0, 7.0, 5.0, 0.0, 0.6, 0.03437, 2.5, 1.377, 0.3792, 0.2189, 1.0, 0.125, 0.0, 0.3573, 0.1882, 0.3573, 0.1882, 0.08081, 11.87, 0.1111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.38, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.333, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"/home/irisren/Dropbox/Patternfeatures/expatmidi/MP/patternmid-10-NLB074038_01.mid",0.5, 0.5, 0.5714, 0.5714, 2.0, 2.0, 3.0, 4.0, 4.0, 5.0, 66.0, 65.0, 0.0, 1.0, 0.0, 6.0, 1.0, 3.0, 0.0, 0.07143, 0.0, 0.0, 0.07143, 2.0, 1.308, 3.0, 2.0, 0.3846, 0.8, 0.3846, 0.3077, 0.2308, 0.6154, 0.07692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333, 2.25, 3.5, 3.1, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 80.0, 120.0, 1.5, 0.2381, 0.2381, 1.0, 0.4762, 5.0, 5.0, 5.0, 0.0, 0.4, 0.03527, 2.8, 2.475, 0.2857, 0.09078, 0.5, 0.25, 0.0, 0.288, 0.09388, 0.288, 0.09388, 0.2, 4.5, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 4.643, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"/home/irisren/Dropbox/Patternfeatures/expatmidi/MP/patternmid-100-NLB146608_01.mid",0.3125, 0.3125, 0.9, 0.9, 2.0, 2.0, 5.0, 6.0, 6.0, 9.0, 71.0, 67.0, 0.0, 1.0, 0.0, 11.0, 3.0, 2.0, 0.0, 0.03125, 0.0, 0.0, 0.03125, 2.0, 2.452, 4.0, 2.0, 0.5484, 0.2941, 0.2903, 0.1613, 0.06452, 0.6129, 0.03226, 0.09677, 0.0, 0.09677, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4231, 2.0, 5.692, 4.731, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5366, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 120.0, 40.0, 3.0, 0.2529, 0.2414, 1.048, 0.4943, 4.0, 10.0, 5.0, 0.0, 0.6, 0.03439, 2.133, 1.451, 0.4531, 0.2076, 1.0, 0.125, 0.0, 0.4511, 0.2108, 0.4511, 0.2108, 0.06452, 15.0, 0.09677, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.5, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.094, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"/home/irisren/Dropbox/Patternfeatures/expatmidi/MP/patternmid-101-NLB072895_01.mid",0.3125, 0.3125, 0.9, 0.9, 2.0, 2.0, 5.0, 6.0, 6.0, 9.0, 71.0, 67.0, 0.0, 1.0, 0.0, 11.0, 3.0, 2.0, 0.0, 0.03125, 0.0, 0.0, 0.03125, 2.0, 2.452, 4.0, 2.0, 0.5484, 0.2941, 0.2903, 0.1613, 0.06452, 0.6129, 0.03226, 0.09677, 0.0, 0.09677, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4231, 2.0, 5.692, 4.731, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5366, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 120.0, 40.0, 3.0, 0.2529, 0.2414, 1.048, 0.4943, 4.0, 10.0, 5.0, 0.0, 0.6, 0.03439, 2.133, 1.451, 0.4531, 0.2076, 1.0, 0.125, 0.0, 0.4511, 0.2108, 0.4511, 0.2108, 0.06452, 15.0, 0.09677, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.5, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.094, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"/home/irisren/Dropbox/Patternfeatures/expatmidi/MP/patternmid-102-NLB072862_01.mid",0.3125, 0.3125, 0.8, 0.8, 2.0, 2.0, 4.0, 7.0, 6.0, 12.0, 71.0, 68.0, 0.0, 0.9688, 0.03125, 11.0, 3.0, 2.0, 0.0, 0.03125, 0.0, 0.0, 0.03125, 2.0, 2.645, 4.0, 2.0, 0.4516, 0.3571, 0.4516, 0.1613, 0.06452, 0.5161, 0.1935, 0.03226, 0.0, 0.06452, 0.0, 0.0, 0.03226, 0.0, 1.0, 0.0, 0.3846, 2.0, 6.154, 4.84, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5572, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 120.0, 3.0, 0.2317, 0.2317, 1.0, 0.4634, 5.0, 5.0, 5.0, 0.0, 0.6, 0.03514, 2.133, 1.451, 0.4531, 0.2239, 1.0, 0.25, 0.0, 0.4511, 0.2275, 0.4511, 0.2275, 0.06452, 15.0, 0.09677, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.5, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.125, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"/home/irisren/Dropbox/Patternfeatures/expatmidi/MP/patternmid-103-NLB070996_01.mid",0.3125, 0.3125, 0.9, 0.9, 2.0, 2.0, 5.0, 6.0, 6.0, 9.0, 71.0, 67.0, 0.0, 1.0, 0.0, 11.0, 3.0, 2.0, 0.0, 0.03125, 0.0, 0.0, 0.03125, 2.0, 2.452, 4.0, 2.0, 0.5484, 0.2941, 0.2903, 0.1613, 0.06452, 0.6129, 0.03226, 0.09677, 0.0, 0.09677, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.4231, 2.0, 5.692, 4.731, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5366, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 120.0, 3.0, 0.2235, 0.1882, 1.187, 0.4118, 5.0, 10.0, 5.0, 0.0, 0.6, 0.02997, 2.133, 1.451, 0.4531, 0.2306, 1.0, 0.125, 0.0, 0.4511, 0.2342, 0.4511, 0.2342, 0.06452, 15.0, 0.09677, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 15.5, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.094, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"/home/irisren/Dropbox/Patternfeatures/expatmidi/MP/patternmid-104-NLB072895_01.mid",0.3871, 0.3871, 0.5833, 0.5833, 2.0, 2.0, 4.0, 6.0, 5.0, 12.0, 71.0, 68.0, 0.0, 0.9677, 0.03226, 11.0, 3.0, 2.0, 0.0, 0.03226, 0.0, 0.0, 0.03226, 0.0, 1.933, 4.0, 2.0, 0.3667, 0.8182, 0.5667, 0.3667, 0.03333, 0.3333, 0.1667, 0.1, 0.0, 0.03333, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.4737, 2.375, 6.125, 3.125, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 120.0, 3.0, 0.2258, 0.2151, 1.05, 0.4409, 5.0, 10.0, 5.0, 0.0, 0.6, 0.03168, 2.385, 0.459, 0.3871, 0.2076, 1.0, 0.125, 0.0, 0.3912, 0.2095, 0.3912, 0.2095, 0.07692, 12.5, 0.07692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.194, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"/home/irisren/Dropbox/Patternfeatures/expatmidi/MP/patternmid-105-NLB145525_01.mid",0.3871, 0.3871, 0.5833, 0.5833, 2.0, 2.0, 4.0, 6.0, 5.0, 12.0, 71.0, 68.0, 0.0, 0.9677, 0.03226, 11.0, 3.0, 2.0, 0.0, 0.03226, 0.0, 0.0, 0.03226, 0.0, 1.933, 4.0, 2.0, 0.3667, 0.8182, 0.5667, 0.3667, 0.03333, 0.3333, 0.1667, 0.1, 0.0, 0.03333, 0.0, 0.0, 0.0, 0.0, 1.5, 0.03226, 0.4737, 2.375, 6.125, 3.125, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 120.0, 3.0, 0.2128, 0.2021, 1.053, 0.4149, 3.0, 10.0, 5.0, 0.0, 0.6, 0.02977, 2.385, 0.459, 0.3871, 0.2125, 1.0, 0.125, 0.0, 0.3912, 0.2146, 0.3912, 0.2146, 0.07692, 12.5, 0.07692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.194, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
"/home/irisren/Dropbox/Patternfeatures/expatmidi/MP/patternmid-106-NLB146608_01.mid",0.3871, 0.3871, 0.5833, 0.5833, 2.0, 2.0, 4.0, 6.0, 5.0, 12.0, 71.0, 68.0, 0.0, 0.9677, 0.03226, 11.0, 3.0, 2.0, 0.0, 0.03226, 0.0, 0.0, 0.03226, 0.0, 1.933, 4.0, 2.0, 0.3667, 0.8182, 0.5667, 0.3667, 0.03333, 0.3333, 0.1667, 0.1, 0.0, 0.03333, 0.0, 0.0, 0.0, 0.0, 1.5, 0.03226, 0.4737, 2.375, 6.125, 3.125, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 120.0, 3.0, 0.2128, 0.2021, 1.053, 0.4149, 3.0, 10.0, 5.0, 0.0, 0.6, 0.02977, 2.385, 0.459, 0.3871, 0.2125, 1.0, 0.125, 0.0, 0.3912, 0.2146, 0.3912, 0.2146, 0.07692, 12.5, 0.07692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.194, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
