"","id","Resample","variable","value"
"1","Raw","Fold01.Rep1","NB~Accuracy",0.587525150905433
"2","Raw","Fold01.Rep2","NB~Accuracy",0.588353413654618
"3","Raw","Fold01.Rep3","NB~Accuracy",0.538152610441767
"4","Raw","Fold02.Rep1","NB~Accuracy",0.558232931726908
"5","Raw","Fold02.Rep2","NB~Accuracy",0.559356136820926
"6","Raw","Fold02.Rep3","NB~Accuracy",0.567676767676768
"7","Raw","Fold03.Rep1","NB~Accuracy",0.54728370221328
"8","Raw","Fold03.Rep2","NB~Accuracy",0.551307847082495
"9","Raw","Fold03.Rep3","NB~Accuracy",0.575452716297787
"10","Raw","Fold04.Rep1","NB~Accuracy",0.572289156626506
"11","Raw","Fold04.Rep2","NB~Accuracy",0.578629032258065
"12","Raw","Fold04.Rep3","NB~Accuracy",0.509054325955734
"13","Raw","Fold05.Rep1","NB~Accuracy",0.550200803212851
"14","Raw","Fold05.Rep2","NB~Accuracy",0.560483870967742
"15","Raw","Fold05.Rep3","NB~Accuracy",0.549295774647887
"16","Raw","Fold06.Rep1","NB~Accuracy",0.582329317269076
"17","Raw","Fold06.Rep2","NB~Accuracy",0.582329317269076
"18","Raw","Fold06.Rep3","NB~Accuracy",0.586345381526104
"19","Raw","Fold07.Rep1","NB~Accuracy",0.568548387096774
"20","Raw","Fold07.Rep2","NB~Accuracy",0.538152610441767
"21","Raw","Fold07.Rep3","NB~Accuracy",0.603621730382294
"22","Raw","Fold08.Rep1","NB~Accuracy",0.518145161290323
"23","Raw","Fold08.Rep2","NB~Accuracy",0.551307847082495
"24","Raw","Fold08.Rep3","NB~Accuracy",0.585513078470825
"25","Raw","Fold09.Rep1","NB~Accuracy",0.574596774193548
"26","Raw","Fold09.Rep2","NB~Accuracy",0.591549295774648
"27","Raw","Fold09.Rep3","NB~Accuracy",0.570281124497992
"28","Raw","Fold10.Rep1","NB~Accuracy",0.567404426559356
"29","Raw","Fold10.Rep2","NB~Accuracy",0.545271629778672
"30","Raw","Fold10.Rep3","NB~Accuracy",0.551307847082495
"31","PCA","Fold01.Rep1","NB~Accuracy",0.643863179074447
"32","PCA","Fold01.Rep2","NB~Accuracy",0.680722891566265
"33","PCA","Fold01.Rep3","NB~Accuracy",0.620481927710843
"34","PCA","Fold02.Rep1","NB~Accuracy",0.636546184738956
"35","PCA","Fold02.Rep2","NB~Accuracy",0.625754527162978
"36","PCA","Fold02.Rep3","NB~Accuracy",0.658585858585859
"37","PCA","Fold03.Rep1","NB~Accuracy",0.62374245472837
"38","PCA","Fold03.Rep2","NB~Accuracy",0.58953722334004
"39","PCA","Fold03.Rep3","NB~Accuracy",0.605633802816901
"40","PCA","Fold04.Rep1","NB~Accuracy",0.582329317269076
"41","PCA","Fold04.Rep2","NB~Accuracy",0.608870967741935
"42","PCA","Fold04.Rep3","NB~Accuracy",0.593561368209256
"43","PCA","Fold05.Rep1","NB~Accuracy",0.634538152610442
"44","PCA","Fold05.Rep2","NB~Accuracy",0.641129032258065
"45","PCA","Fold05.Rep3","NB~Accuracy",0.647887323943662
"46","PCA","Fold06.Rep1","NB~Accuracy",0.626506024096386
"47","PCA","Fold06.Rep2","NB~Accuracy",0.618473895582329
"48","PCA","Fold06.Rep3","NB~Accuracy",0.594377510040161
"49","PCA","Fold07.Rep1","NB~Accuracy",0.625
"50","PCA","Fold07.Rep2","NB~Accuracy",0.632530120481928
"51","PCA","Fold07.Rep3","NB~Accuracy",0.627766599597586
"52","PCA","Fold08.Rep1","NB~Accuracy",0.602822580645161
"53","PCA","Fold08.Rep2","NB~Accuracy",0.597585513078471
"54","PCA","Fold08.Rep3","NB~Accuracy",0.619718309859155
"55","PCA","Fold09.Rep1","NB~Accuracy",0.631048387096774
"56","PCA","Fold09.Rep2","NB~Accuracy",0.597585513078471
"57","PCA","Fold09.Rep3","NB~Accuracy",0.604417670682731
"58","PCA","Fold10.Rep1","NB~Accuracy",0.629778672032193
"59","PCA","Fold10.Rep2","NB~Accuracy",0.611670020120724
"60","PCA","Fold10.Rep3","NB~Accuracy",0.625754527162978
"61","Raw","Fold01.Rep1","LVQ~Accuracy",0.601609657947686
"62","Raw","Fold01.Rep2","LVQ~Accuracy",0.647177419354839
"63","Raw","Fold01.Rep3","LVQ~Accuracy",0.630522088353414
"64","Raw","Fold02.Rep1","LVQ~Accuracy",0.600401606425703
"65","Raw","Fold02.Rep2","LVQ~Accuracy",0.625754527162978
"66","Raw","Fold02.Rep3","LVQ~Accuracy",0.665995975855131
"67","Raw","Fold03.Rep1","LVQ~Accuracy",0.590361445783133
"68","Raw","Fold03.Rep2","LVQ~Accuracy",0.635814889336016
"69","Raw","Fold03.Rep3","LVQ~Accuracy",0.616465863453815
"70","Raw","Fold04.Rep1","LVQ~Accuracy",0.617706237424547
"71","Raw","Fold04.Rep2","LVQ~Accuracy",0.591549295774648
"72","Raw","Fold04.Rep3","LVQ~Accuracy",0.625754527162978
"73","Raw","Fold05.Rep1","LVQ~Accuracy",0.625754527162978
"74","Raw","Fold05.Rep2","LVQ~Accuracy",0.637826961770624
"75","Raw","Fold05.Rep3","LVQ~Accuracy",0.613682092555332
"76","Raw","Fold06.Rep1","LVQ~Accuracy",0.597585513078471
"77","Raw","Fold06.Rep2","LVQ~Accuracy",0.604417670682731
"78","Raw","Fold06.Rep3","LVQ~Accuracy",0.603621730382294
"79","Raw","Fold07.Rep1","LVQ~Accuracy",0.627766599597586
"80","Raw","Fold07.Rep2","LVQ~Accuracy",0.639839034205231
"81","Raw","Fold07.Rep3","LVQ~Accuracy",0.627016129032258
"82","Raw","Fold08.Rep1","LVQ~Accuracy",0.603621730382294
"83","Raw","Fold08.Rep2","LVQ~Accuracy",0.639839034205231
"84","Raw","Fold08.Rep3","LVQ~Accuracy",0.631790744466801
"85","Raw","Fold09.Rep1","LVQ~Accuracy",0.627016129032258
"86","Raw","Fold09.Rep2","LVQ~Accuracy",0.619718309859155
"87","Raw","Fold09.Rep3","LVQ~Accuracy",0.614457831325301
"88","Raw","Fold10.Rep1","LVQ~Accuracy",0.661971830985915
"89","Raw","Fold10.Rep2","LVQ~Accuracy",0.634538152610442
"90","Raw","Fold10.Rep3","LVQ~Accuracy",0.643145161290323
"91","PCA","Fold01.Rep1","LVQ~Accuracy",0.611670020120724
"92","PCA","Fold01.Rep2","LVQ~Accuracy",0.643145161290323
"93","PCA","Fold01.Rep3","LVQ~Accuracy",0.63855421686747
"94","PCA","Fold02.Rep1","LVQ~Accuracy",0.644578313253012
"95","PCA","Fold02.Rep2","LVQ~Accuracy",0.61569416498994
"96","PCA","Fold02.Rep3","LVQ~Accuracy",0.651911468812877
"97","PCA","Fold03.Rep1","LVQ~Accuracy",0.634538152610442
"98","PCA","Fold03.Rep2","LVQ~Accuracy",0.643863179074447
"99","PCA","Fold03.Rep3","LVQ~Accuracy",0.614457831325301
"100","PCA","Fold04.Rep1","LVQ~Accuracy",0.625754527162978
"101","PCA","Fold04.Rep2","LVQ~Accuracy",0.643863179074447
"102","PCA","Fold04.Rep3","LVQ~Accuracy",0.591549295774648
"103","PCA","Fold05.Rep1","LVQ~Accuracy",0.629778672032193
"104","PCA","Fold05.Rep2","LVQ~Accuracy",0.605633802816901
"105","PCA","Fold05.Rep3","LVQ~Accuracy",0.637826961770624
"106","PCA","Fold06.Rep1","LVQ~Accuracy",0.668008048289738
"107","PCA","Fold06.Rep2","LVQ~Accuracy",0.616465863453815
"108","PCA","Fold06.Rep3","LVQ~Accuracy",0.579476861167002
"109","PCA","Fold07.Rep1","LVQ~Accuracy",0.597585513078471
"110","PCA","Fold07.Rep2","LVQ~Accuracy",0.611670020120724
"111","PCA","Fold07.Rep3","LVQ~Accuracy",0.655241935483871
"112","PCA","Fold08.Rep1","LVQ~Accuracy",0.597585513078471
"113","PCA","Fold08.Rep2","LVQ~Accuracy",0.569416498993964
"114","PCA","Fold08.Rep3","LVQ~Accuracy",0.631790744466801
"115","PCA","Fold09.Rep1","LVQ~Accuracy",0.610887096774194
"116","PCA","Fold09.Rep2","LVQ~Accuracy",0.621730382293763
"117","PCA","Fold09.Rep3","LVQ~Accuracy",0.592369477911647
"118","PCA","Fold10.Rep1","LVQ~Accuracy",0.585513078470825
"119","PCA","Fold10.Rep2","LVQ~Accuracy",0.58433734939759
"120","PCA","Fold10.Rep3","LVQ~Accuracy",0.608870967741935
"121","Raw","Fold01.Rep1","GBM~Accuracy",0.827309236947791
"122","Raw","Fold01.Rep2","GBM~Accuracy",0.818913480885312
"123","Raw","Fold01.Rep3","GBM~Accuracy",0.804828973843058
"124","Raw","Fold02.Rep1","GBM~Accuracy",0.804828973843058
"125","Raw","Fold02.Rep2","GBM~Accuracy",0.806841046277666
"126","Raw","Fold02.Rep3","GBM~Accuracy",0.802816901408451
"127","Raw","Fold03.Rep1","GBM~Accuracy",0.819277108433735
"128","Raw","Fold03.Rep2","GBM~Accuracy",0.814889336016097
"129","Raw","Fold03.Rep3","GBM~Accuracy",0.847082494969819
"130","Raw","Fold04.Rep1","GBM~Accuracy",0.775100401606426
"131","Raw","Fold04.Rep2","GBM~Accuracy",0.802816901408451
"132","Raw","Fold04.Rep3","GBM~Accuracy",0.814141414141414
"133","Raw","Fold05.Rep1","GBM~Accuracy",0.806841046277666
"134","Raw","Fold05.Rep2","GBM~Accuracy",0.828282828282828
"135","Raw","Fold05.Rep3","GBM~Accuracy",0.819277108433735
"136","Raw","Fold06.Rep1","GBM~Accuracy",0.82258064516129
"137","Raw","Fold06.Rep2","GBM~Accuracy",0.801204819277108
"138","Raw","Fold06.Rep3","GBM~Accuracy",0.799196787148594
"139","Raw","Fold07.Rep1","GBM~Accuracy",0.810865191146881
"140","Raw","Fold07.Rep2","GBM~Accuracy",0.807228915662651
"141","Raw","Fold07.Rep3","GBM~Accuracy",0.818913480885312
"142","Raw","Fold08.Rep1","GBM~Accuracy",0.812877263581489
"143","Raw","Fold08.Rep2","GBM~Accuracy",0.821285140562249
"144","Raw","Fold08.Rep3","GBM~Accuracy",0.810865191146881
"145","Raw","Fold09.Rep1","GBM~Accuracy",0.816532258064516
"146","Raw","Fold09.Rep2","GBM~Accuracy",0.827309236947791
"147","Raw","Fold09.Rep3","GBM~Accuracy",0.796780684104628
"148","Raw","Fold10.Rep1","GBM~Accuracy",0.830985915492958
"149","Raw","Fold10.Rep2","GBM~Accuracy",0.818548387096774
"150","Raw","Fold10.Rep3","GBM~Accuracy",0.803212851405622
"151","PCA","Fold01.Rep1","GBM~Accuracy",0.72289156626506
"152","PCA","Fold01.Rep2","GBM~Accuracy",0.728370221327968
"153","PCA","Fold01.Rep3","GBM~Accuracy",0.699596774193548
"154","PCA","Fold02.Rep1","GBM~Accuracy",0.722334004024145
"155","PCA","Fold02.Rep2","GBM~Accuracy",0.720321931589537
"156","PCA","Fold02.Rep3","GBM~Accuracy",0.704819277108434
"157","PCA","Fold03.Rep1","GBM~Accuracy",0.742454728370221
"158","PCA","Fold03.Rep2","GBM~Accuracy",0.740963855421687
"159","PCA","Fold03.Rep3","GBM~Accuracy",0.700803212851406
"160","PCA","Fold04.Rep1","GBM~Accuracy",0.703629032258065
"161","PCA","Fold04.Rep2","GBM~Accuracy",0.732394366197183
"162","PCA","Fold04.Rep3","GBM~Accuracy",0.736947791164659
"163","PCA","Fold05.Rep1","GBM~Accuracy",0.706237424547284
"164","PCA","Fold05.Rep2","GBM~Accuracy",0.71830985915493
"165","PCA","Fold05.Rep3","GBM~Accuracy",0.738955823293173
"166","PCA","Fold06.Rep1","GBM~Accuracy",0.722334004024145
"167","PCA","Fold06.Rep2","GBM~Accuracy",0.712273641851107
"168","PCA","Fold06.Rep3","GBM~Accuracy",0.727822580645161
"169","PCA","Fold07.Rep1","GBM~Accuracy",0.72289156626506
"170","PCA","Fold07.Rep2","GBM~Accuracy",0.710261569416499
"171","PCA","Fold07.Rep3","GBM~Accuracy",0.734939759036145
"172","PCA","Fold08.Rep1","GBM~Accuracy",0.734939759036145
"173","PCA","Fold08.Rep2","GBM~Accuracy",0.730382293762575
"174","PCA","Fold08.Rep3","GBM~Accuracy",0.694949494949495
"175","PCA","Fold09.Rep1","GBM~Accuracy",0.679435483870968
"176","PCA","Fold09.Rep2","GBM~Accuracy",0.688755020080321
"177","PCA","Fold09.Rep3","GBM~Accuracy",0.744466800804829
"178","PCA","Fold10.Rep1","GBM~Accuracy",0.734406438631791
"179","PCA","Fold10.Rep2","GBM~Accuracy",0.725806451612903
"180","PCA","Fold10.Rep3","GBM~Accuracy",0.722334004024145
"181","Raw","Fold01.Rep1","SVM~Accuracy",0.668674698795181
"182","Raw","Fold01.Rep2","SVM~Accuracy",0.668674698795181
"183","Raw","Fold01.Rep3","SVM~Accuracy",0.663983903420523
"184","Raw","Fold02.Rep1","SVM~Accuracy",0.737903225806452
"185","Raw","Fold02.Rep2","SVM~Accuracy",0.712273641851107
"186","Raw","Fold02.Rep3","SVM~Accuracy",0.708835341365462
"187","Raw","Fold03.Rep1","SVM~Accuracy",0.693548387096774
"188","Raw","Fold03.Rep2","SVM~Accuracy",0.669354838709677
"189","Raw","Fold03.Rep3","SVM~Accuracy",0.716297786720322
"190","Raw","Fold04.Rep1","SVM~Accuracy",0.721774193548387
"191","Raw","Fold04.Rep2","SVM~Accuracy",0.740963855421687
"192","Raw","Fold04.Rep3","SVM~Accuracy",0.708835341365462
"193","Raw","Fold05.Rep1","SVM~Accuracy",0.710261569416499
"194","Raw","Fold05.Rep2","SVM~Accuracy",0.708835341365462
"195","Raw","Fold05.Rep3","SVM~Accuracy",0.703629032258065
"196","Raw","Fold06.Rep1","SVM~Accuracy",0.6579476861167
"197","Raw","Fold06.Rep2","SVM~Accuracy",0.689516129032258
"198","Raw","Fold06.Rep3","SVM~Accuracy",0.704225352112676
"199","Raw","Fold07.Rep1","SVM~Accuracy",0.70281124497992
"200","Raw","Fold07.Rep2","SVM~Accuracy",0.700201207243461
"201","Raw","Fold07.Rep3","SVM~Accuracy",0.684738955823293
"202","Raw","Fold08.Rep1","SVM~Accuracy",0.706827309236948
"203","Raw","Fold08.Rep2","SVM~Accuracy",0.683467741935484
"204","Raw","Fold08.Rep3","SVM~Accuracy",0.725806451612903
"205","Raw","Fold09.Rep1","SVM~Accuracy",0.690140845070423
"206","Raw","Fold09.Rep2","SVM~Accuracy",0.71285140562249
"207","Raw","Fold09.Rep3","SVM~Accuracy",0.718875502008032
"208","Raw","Fold10.Rep1","SVM~Accuracy",0.688755020080321
"209","Raw","Fold10.Rep2","SVM~Accuracy",0.716297786720322
