@relation groupsamp
@attribute class {'X1','X10','X2','X3','X4','X5','X6','X7','X8','X9'}
@attribute Prevalence_of_Most_Common_Pitch numeric
@attribute Prevalence_of_Most_Common_Pitch_Class numeric
@attribute Relative_Prevalence_of_Top_Pitches numeric
@attribute Relative_Prevalence_of_Top_Pitch_Classes numeric
@attribute Interval_Between_Most_Prevalent_Pitches numeric
@attribute Interval_Between_Most_Prevalent_Pitch_Classes numeric
@attribute Number_of_Common_Pitches numeric
@attribute Pitch_Variety numeric
@attribute Pitch_Class_Variety numeric
@attribute Range numeric
@attribute Most_Common_Pitch numeric
@attribute Mean_Pitch numeric
@attribute Importance_of_Middle_Register numeric
@attribute Importance_of_High_Register numeric
@attribute Most_Common_Pitch_Class numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Mean_Melodic_Interval numeric
@attribute Number_of_Common_Melodic_Intervals numeric
@attribute Distance_Between_Most_Prevalent_Melodic_Intervals numeric
@attribute Prevalence_of_Most_Common_Melodic_Interval numeric
@attribute Relative_Prevalence_of_Most_Common_Melodic_Intervals numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Melodic_Thirds numeric
@attribute Melodic_Perfect_Fourths numeric
@attribute Melodic_Tritones numeric
@attribute Melodic_Perfect_Fifths numeric
@attribute Melodic_Sixths numeric
@attribute Melodic_Sevenths numeric
@attribute Melodic_Octaves numeric
@attribute Melodic_Large_Intervals numeric
@attribute Minor_Major_Melodic_Third_Ratio numeric
@attribute Melodic_Embellishments numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Average_Length_of_Melodic_Arcs numeric
@attribute Average_Interval_Spanned_by_Melodic_Arcs numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Second_Strongest_Rhythmic_Pulse numeric
@attribute Harmonicity_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Strength_of_Strongest_Rhythmic_Pulse numeric
@attribute Strength_of_Second_Strongest_Rhythmic_Pulse numeric
@attribute Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Combined_Strength_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Number_of_Strong_Rhythmic_Pulses numeric
@attribute Number_of_Moderate_Rhythmic_Pulses numeric
@attribute Number_of_Relatively_Strong_Rhythmic_Pulses numeric
@attribute Polyrhythms numeric
@attribute Rhythmic_Variability numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Average_Note_Duration numeric
@attribute Variability_of_Note_Durations numeric
@attribute Maximum_Note_Duration numeric
@attribute Minimum_Note_Duration numeric
@attribute Amount_of_Staccato numeric
@attribute Average_Time_Between_Attacks numeric
@attribute Variability_of_Time_Between_Attacks numeric
@attribute Complete_Rests numeric
@attribute Longest_Complete_Rest numeric
@attribute Duration numeric
@data
'X1',0.2632,0.2632,1,1,2,2,4,7,6,14,67,69,0.8421,0.1579,7,3,3,2,2.611,2,2,0.6111,0.1818,0.2222,0.1111,0.05556,0.6667,0.05556,0.05556,0,0.05556,0.05556,0,0,0,0,0,0.4375,2,5.625,4.083,120,40,3,0.25,0.2273,1.1,0.4773,5,5,5,0.6,0.03566,1.583,1.181,0.5789,0.4001,1.5,0.25,0,0.5273,0.3418,0.08333,11.5,12
'X1',0.1811,0.2126,0.9565,0.8148,5,7,6,9,7,14,74,70,0.6929,0.3071,2,6,3,2,2.31,4,2,0.4524,0.2982,0.3571,0.1349,0.1111,0.5635,0.1984,0.06349,0,0.02381,0.01587,0,0,0,1.778,0,0.4679,2.946,7.757,6.223,60,120,2,0.2841,0.2585,1.099,0.5426,4,5,5,0.4,0.03769,2.048,0.5815,0.4823,0.2382,1.5,0.25,0,0.4836,0.2382,0.01606,61.75,62.25
'X1',0.3571,0.3571,0.6,0.6,2,2,4,6,5,12,69,69,0.9286,0.07143,9,4,3,2,2.333,2,2,0.6667,0.1667,0.2222,0.1111,0.07407,0.7407,0.03704,0.03704,0,0.03704,0,0.03704,0,0,0,0,0.375,2.4,5.6,4.409,40,120,3,0.2278,0.2278,1,0.4557,5,5,5,0.6,0.0351,2.333,0.5,0.4107,0.1696,0.75,0.25,0,0.4069,0.1719,0.08,12,12.5
'X1',0.2817,0.2817,0.725,0.725,4,4,5,7,6,12,71,69,0.9155,0.08451,11,4,3,0,1.809,4,2,0.383,0.6481,0.5248,0.383,0.1064,0.3546,0.1348,0.09929,0,0.007092,0.02128,0,0,0,1.111,0.007042,0.4598,2.417,6.917,3.902,120,60,2,0.2239,0.2027,1.105,0.4266,5,5,5,0.6,0.03392,2.898,0.7115,0.3398,0.1667,1.25,0.125,0,0.3399,0.1671,0.0203,48.75,49.25
'X1',0.2857,0.2857,0.8333,0.8333,5,10,4,6,6,9,71,69,0.7619,0.2381,11,3,2,2,1.9,3,2,0.5,0.6,0.35,0.3,0.05,0.55,0,0.1,0,0.05,0,0,0,0,0,0,0.3571,2.333,6,3.467,40,80,2,0.2642,0.2264,1.167,0.4906,5,5,5,0.6,0.03554,2.333,0.3536,0.4167,0.2141,0.75,0.25,0,0.4245,0.2161,0.1026,9.25,9.75
'X1',0.1553,0.2184,0.7813,0.8667,2,2,4,17,9,24,74,71,0.4709,0.5291,2,6,3,2,2.522,4,2,0.3707,0.4605,0.3854,0.1707,0.1268,0.4976,0.1756,0.07317,0.009756,0.03902,0.02439,0,0,0.009756,3,0.01456,0.4824,2.297,6.716,5.317,40,80,2,0.2138,0.1954,1.094,0.4092,5,9,5,0.6,0.03218,2.675,0.4849,0.3726,0.2812,1.25,0.0625,0.01456,0.3727,0.2818,0.01286,77.25,77.75
'X1',0.25,0.25,0.8182,0.8182,3,9,6,6,6,9,71,71,0.6591,0.3409,11,6,2,2,1.721,3,2,0.4186,0.7222,0.4419,0.3023,0.1163,0.5349,0.09302,0.02326,0,0.04651,0,0,0,0,1,0.1136,0.6,2,4.467,3.278,120,40,3,0.2059,0.1765,1.167,0.3824,4,10,5,0.6,0.02823,2.75,0.7773,0.358,0.2537,1.5,0.125,0,0.36,0.2562,0.0597,16.25,16.75
'X1',0.1923,0.1923,1,1,2,2,4,10,7,16,74,76,0.1538,0.8462,2,4,2,2,2.6,3,1,0.52,0.2308,0.32,0.04,0.12,0.64,0.2,0.04,0,0.08,0,0,0,0,1.5,0,0.5417,3.429,8.571,4.938,40,80,2,0.2125,0.2125,1,0.425,5,5,5,0.6,0.03486,2.364,1.774,0.3942,0.3014,1.25,0.25,0,0.3595,0.2508,0.08889,10.75,11.25
'X1',0.2759,0.2759,0.625,0.625,3,9,6,8,7,12,74,72,0.5,0.5,2,6,2,2,2.211,4,2,0.4035,0.4783,0.4035,0.193,0.1228,0.5263,0.1754,0.05263,0,0.01754,0.01754,0.01754,0,0,4,0.03448,0.3913,2.706,6.941,5.413,120,40,3,0.2081,0.2023,1.029,0.4104,5,10,5,0.6,0.03141,2.522,0.6417,0.3922,0.2335,1.25,0.125,0,0.3942,0.2348,0.04211,23.25,23.75
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
