@relation group355
@attribute class {'X1','X2','X3','X4','X5','X6','X7'}
@attribute Prevalence_of_Most_Common_Pitch numeric
@attribute Prevalence_of_Most_Common_Pitch_Class numeric
@attribute Relative_Prevalence_of_Top_Pitches numeric
@attribute Relative_Prevalence_of_Top_Pitch_Classes numeric
@attribute Interval_Between_Most_Prevalent_Pitches numeric
@attribute Interval_Between_Most_Prevalent_Pitch_Classes numeric
@attribute Number_of_Common_Pitches numeric
@attribute Pitch_Variety numeric
@attribute Pitch_Class_Variety numeric
@attribute Range numeric
@attribute Most_Common_Pitch numeric
@attribute Mean_Pitch numeric
@attribute Importance_of_Middle_Register numeric
@attribute Importance_of_High_Register numeric
@attribute Most_Common_Pitch_Class numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Mean_Melodic_Interval numeric
@attribute Number_of_Common_Melodic_Intervals numeric
@attribute Distance_Between_Most_Prevalent_Melodic_Intervals numeric
@attribute Prevalence_of_Most_Common_Melodic_Interval numeric
@attribute Relative_Prevalence_of_Most_Common_Melodic_Intervals numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Melodic_Thirds numeric
@attribute Melodic_Perfect_Fourths numeric
@attribute Melodic_Tritones numeric
@attribute Melodic_Perfect_Fifths numeric
@attribute Melodic_Sixths numeric
@attribute Melodic_Sevenths numeric
@attribute Melodic_Octaves numeric
@attribute Melodic_Large_Intervals numeric
@attribute Minor_Major_Melodic_Third_Ratio numeric
@attribute Melodic_Embellishments numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Average_Length_of_Melodic_Arcs numeric
@attribute Average_Interval_Spanned_by_Melodic_Arcs numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Second_Strongest_Rhythmic_Pulse numeric
@attribute Harmonicity_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Strength_of_Strongest_Rhythmic_Pulse numeric
@attribute Strength_of_Second_Strongest_Rhythmic_Pulse numeric
@attribute Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Combined_Strength_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Number_of_Strong_Rhythmic_Pulses numeric
@attribute Number_of_Moderate_Rhythmic_Pulses numeric
@attribute Number_of_Relatively_Strong_Rhythmic_Pulses numeric
@attribute Polyrhythms numeric
@attribute Rhythmic_Variability numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Average_Note_Duration numeric
@attribute Variability_of_Note_Durations numeric
@attribute Maximum_Note_Duration numeric
@attribute Minimum_Note_Duration numeric
@attribute Amount_of_Staccato numeric
@attribute Average_Time_Between_Attacks numeric
@attribute Variability_of_Time_Between_Attacks numeric
@attribute Complete_Rests numeric
@attribute Longest_Complete_Rest numeric
@attribute Duration numeric
@data
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0.2018,0.2018,0.7609,0.7609,2,2,3,13,11,14,67,67,0.9781,0.02193,7,1,3,2,2.079,3,2,0.511,0.3276,0.2952,0.1674,0.1233,0.6344,0.1101,0.05727,0,0.01322,0.01322,0.004405,0,0,0.7857,0.01754,0.4286,2.198,5.442,4.401,60,120,2,0.2429,0.2103,1.155,0.4532,5,5,5,0.4,0.03411,2.562,0.355,0.3871,0.1744,1.5,0.125,0,0.3861,0.1746,0.0112,88.75,89.25
'X1',0.2821,0.2821,0.5455,0.6364,5,5,4,10,7,17,62,64,1,0,2,6,2,2,2.158,4,2,0.4474,0.3529,0.2632,0.1579,0.1579,0.6053,0.1053,0.1053,0,0,0.02632,0,0,0,1,0,0.5625,1.778,4.389,3.577,80,40,2,0.1971,0.1898,1.038,0.3869,5,9,5,0.4,0.03189,3,0.25,0.3205,0.1565,0.75,0.125,0,0.3153,0.1558,0.07407,13,13.5
'X1',0.3542,0.3542,0.6471,0.6471,2,2,3,8,7,12,69,68,0.9375,0.0625,9,3,3,2,1.809,3,2,0.4255,0.55,0.3404,0.234,0.1702,0.5957,0.1064,0.04255,0,0,0.02128,0,0,0,0.6667,0,0.3889,2.571,5.5,4.081,60,120,2,0.2229,0.2108,1.057,0.4337,5,6,5,0.4,0.03379,2.824,0.25,0.3385,0.1339,0.75,0.125,0,0.3399,0.1347,0.05797,16.75,17.25
'X1',0.2105,0.2632,1,0.8,5,5,6,8,7,12,74,74,0.3684,0.6316,7,6,2,2,3.111,6,2,0.2222,0.75,0.5,0.1667,0.1111,0.3333,0.2222,0.1111,0,0.1111,0.05556,0,0,0,3,0,0.4667,2.5,7.333,5,80,120,1.5,0.1957,0.1957,1,0.3913,5,9,5,0.4,0.03136,2.375,0.6482,0.3816,0.2901,1.25,0.125,0,0.3884,0.2967,0.1212,7.75,8.25
'X1',0.2342,0.2523,0.8462,0.9286,3,9,5,9,7,14,71,69,0.7928,0.2072,2,4,2,0,2.018,5,2,0.2727,0.9667,0.5364,0.2727,0.1455,0.4091,0.2182,0.05455,0,0.04545,0,0,0,0,1.182,0.009009,0.5,2.051,5.615,4.266,80,40,2,0.1964,0.1897,1.035,0.3862,5,10,5,0.4,0.03039,3.083,1.05,0.3176,0.1944,1.25,0.0625,0.009009,0.3177,0.1952,0.02759,35.75,36.25
'X1',0.2,0.2,1,1,1,2,6,6,6,9,71,72,0.6,0.4,0,6,2,2,2.222,5,2,0.4444,0.5,0.4444,0.1111,0.1111,0.5556,0.3333,0,0,0,0,0,0,0,0.5,0,0.375,4,6.5,3.5,120,60,2,0.2333,0.1667,1.4,0.4,5,9,5,0.6,0.02963,2.5,0,0.35,0.1419,0.5,0.125,0,0.3328,0.1398,0.2222,4,4.5
'X1',0.24,0.24,0.8333,0.8333,2,2,5,9,7,14,71,70,0.7867,0.2133,11,4,2,2,1.905,3,2,0.473,0.4286,0.3784,0.2027,0.1216,0.5946,0.1486,0.02703,0,0.02703,0,0,0,0,1.2,0.01333,0.4576,2.565,5.826,3.885,60,120,2,0.2469,0.2176,1.135,0.4644,5,5,5,0.4,0.03474,2.586,0.4082,0.3833,0.2119,1.5,0.125,0,0.3846,0.2128,0.03361,29.25,29.75
'X1',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5
'X1',0.2973,0.3243,0.7273,0.6667,5,5,4,10,7,15,62,65,0.973,0.02703,2,2,3,2,1.889,3,2,0.3611,0.8462,0.3889,0.3056,0.1389,0.5,0.05556,0.08333,0,0.02778,0.02778,0,0,0,0,0,0.44,2.5,6.6,3.12,80,40,2,0.219,0.2044,1.071,0.4234,5,5,5,0.4,0.03486,3.083,0.3819,0.3041,0.1198,0.75,0.25,0,0.3051,0.1212,0.08163,11.75,12.25
