@relation group4
@attribute class {'X1','X2','X3','X4'}
@attribute Prevalence_of_Most_Common_Pitch numeric
@attribute Prevalence_of_Most_Common_Pitch_Class numeric
@attribute Relative_Prevalence_of_Top_Pitches numeric
@attribute Relative_Prevalence_of_Top_Pitch_Classes numeric
@attribute Interval_Between_Most_Prevalent_Pitches numeric
@attribute Interval_Between_Most_Prevalent_Pitch_Classes numeric
@attribute Number_of_Common_Pitches numeric
@attribute Pitch_Variety numeric
@attribute Pitch_Class_Variety numeric
@attribute Range numeric
@attribute Most_Common_Pitch numeric
@attribute Mean_Pitch numeric
@attribute Importance_of_Middle_Register numeric
@attribute Importance_of_High_Register numeric
@attribute Most_Common_Pitch_Class numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Mean_Melodic_Interval numeric
@attribute Number_of_Common_Melodic_Intervals numeric
@attribute Distance_Between_Most_Prevalent_Melodic_Intervals numeric
@attribute Prevalence_of_Most_Common_Melodic_Interval numeric
@attribute Relative_Prevalence_of_Most_Common_Melodic_Intervals numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Melodic_Thirds numeric
@attribute Melodic_Perfect_Fourths numeric
@attribute Melodic_Tritones numeric
@attribute Melodic_Perfect_Fifths numeric
@attribute Melodic_Sixths numeric
@attribute Melodic_Sevenths numeric
@attribute Melodic_Octaves numeric
@attribute Melodic_Large_Intervals numeric
@attribute Minor_Major_Melodic_Third_Ratio numeric
@attribute Melodic_Embellishments numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Average_Length_of_Melodic_Arcs numeric
@attribute Average_Interval_Spanned_by_Melodic_Arcs numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Second_Strongest_Rhythmic_Pulse numeric
@attribute Harmonicity_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Strength_of_Strongest_Rhythmic_Pulse numeric
@attribute Strength_of_Second_Strongest_Rhythmic_Pulse numeric
@attribute Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Combined_Strength_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Number_of_Strong_Rhythmic_Pulses numeric
@attribute Number_of_Moderate_Rhythmic_Pulses numeric
@attribute Number_of_Relatively_Strong_Rhythmic_Pulses numeric
@attribute Polyrhythms numeric
@attribute Rhythmic_Variability numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Average_Note_Duration numeric
@attribute Variability_of_Note_Durations numeric
@attribute Maximum_Note_Duration numeric
@attribute Minimum_Note_Duration numeric
@attribute Amount_of_Staccato numeric
@attribute Average_Time_Between_Attacks numeric
@attribute Variability_of_Time_Between_Attacks numeric
@attribute Complete_Rests numeric
@attribute Longest_Complete_Rest numeric
@attribute Duration numeric
@attribute Rhythmic_Looseness numeric
@data
'X1',0.1562,0.2141,0.98,0.8321,7,5,4,18,10,24,67,70,0.6234,0.3766,2,5,1,2,1.82,3,2,0.3991,0.7059,0.4085,0.2817,0.1111,0.5102,0.1095,0.07981,0,0.01408,0.001565,0.001565,0.001565,0,1.917,0.003125,0.4488,2.175,5.493,4.58,80,40,2,0.2768,0.2736,1.012,0.5503,5,5,5,0.4,0.03605,2.319,0.479,0.4297,0.2373,1.5,0.125,0,0.4287,0.2372,0.003623,275.5,276,0
'X1',0.6667,0.6667,0.5,0.5,2,2,2,2,2,2,74,74,0,1,2,1,2,0,1,2,2,0.5,1,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,80,120,1.5,0.5,0.5,1,1,2,2,2,0.5,0.05555,1.5,0,0.4167,0.1443,0.5,0.25,0,0.3745,0.1768,0.4444,1.75,2.25,0
'X1',0.5,0.5,1,1,7,5,2,2,2,7,67,70,0.5,0.5,2,2,0,7,7,1,7,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,0,60,1,0,0,1,1,1,1,1,0.07881,1,0,0.6875,0.4419,1,0.375,0,0.9995,0,0.4211,1.875,2.375,0
'X1',0.2329,0.2329,0.9412,0.9412,2,7,5,8,7,14,69,70,0.7534,0.2466,9,4,2,2,2.25,4,1,0.5278,0.2895,0.1944,0.09722,0.1528,0.6806,0.06944,0.125,0,0.02778,0,0,0,0,4,0.0137,0.4615,2.031,4.844,4.633,80,120,1.5,0.2073,0.2033,1.02,0.4106,5,7,5,0.4,0.03224,2.92,1.623,0.3322,0.2334,1.25,0.0625,0.0137,0.3328,0.2348,0.0396,24.75,25.25,0
'X1',0.5,0.5,1,1,2,2,2,2,2,2,69,70,1,0,9,1,2,2,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,1,0,0,1,1,1,1,1,0.07881,1,0,0.5,0,0.5,0.5,0,0.4995,0,0.5,1.5,2,0
'X1',0.75,0.75,0.3333,0.3333,4,4,2,2,2,4,62,63,1,0,2,1,2,0,1.333,2,4,0.6667,0.5,1,0.6667,0,0,0.3333,0,0,0,0,0,0,0,0,0,1,0,0,1,120,60,2,0.6667,0.3333,2,1,2,2,2,1,0.0586,1,0,0.875,0.75,2,0.5,0,0.9995,0.866,0.2222,4,4.5,0
'X1',0.2619,0.2619,0.7273,0.7273,2,5,4,9,8,12,67,70,0.7143,0.2857,7,5,1,2,2.171,5,2,0.2683,0.9091,0.4878,0.2439,0.122,0.3902,0.2195,0.122,0,0.02439,0,0,0,0,2,0,0.4516,2.583,6.417,4.613,80,40,2,0.281,0.2727,1.03,0.5537,5,5,5,0.4,0.03653,2.333,0.2394,0.4196,0.2645,1.25,0.125,0,0.4263,0.2637,0.05369,18.12,18.62,0
'X1',0.3571,0.3571,0.6,0.6,2,2,3,7,7,10,74,74,0.2857,0.7143,2,2,2,2,2,4,2,0.5385,0.2857,0.1538,0.1538,0.1538,0.6923,0,0.1538,0,0,0,0,0,0,0,0.07143,0.5455,2.75,4.75,3.571,120,60,2,0.3235,0.2941,1.1,0.6176,3,7,3,1,0.04019,1.75,0.1768,0.5,0.1768,1,0.125,0,0.4995,0.184,0.125,7.5,8,0
'X1',0.2995,0.2995,0.6339,0.6339,2,2,4,14,11,16,69,67,0.9545,0.04545,9,3,3,2,1.74,3,2,0.4504,0.6369,0.3539,0.2869,0.1233,0.5737,0.04558,0.06971,0,0.01072,0.002681,0.01072,0,0,0.8889,0.01337,0.4173,2.463,5.991,4.697,40,80,2,0.2123,0.2066,1.028,0.4188,5,7,5,0.6,0.03329,2.899,0.7581,0.3422,0.1801,1.25,0.125,0,0.3407,0.1791,0.007752,128.5,129,0
'X1',0.5,0.5,1,1,5,5,2,2,2,5,74,76,0,1,2,2,0,0,1.667,2,5,0.6667,0.5,0.6667,0.6667,0,0,0,0.3333,0,0,0,0,0,0,0,0,1,0,0,1,48,60,1.25,0.25,0.25,1,0.5,4,4,4,0.25,0.03903,2,0,0.4375,0.2394,0.75,0.25,0,0.4162,0.2887,0.3636,2.25,2.75,0
