@relation groupnon
@attribute class {'X1','X2','X3','X4','X5'}
@attribute Prevalence_of_Most_Common_Pitch numeric
@attribute Prevalence_of_Most_Common_Pitch_Class numeric
@attribute Relative_Prevalence_of_Top_Pitches numeric
@attribute Relative_Prevalence_of_Top_Pitch_Classes numeric
@attribute Interval_Between_Most_Prevalent_Pitches numeric
@attribute Interval_Between_Most_Prevalent_Pitch_Classes numeric
@attribute Number_of_Common_Pitches numeric
@attribute Pitch_Variety numeric
@attribute Pitch_Class_Variety numeric
@attribute Range numeric
@attribute Most_Common_Pitch numeric
@attribute Mean_Pitch numeric
@attribute Importance_of_Middle_Register numeric
@attribute Importance_of_High_Register numeric
@attribute Most_Common_Pitch_Class numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Mean_Melodic_Interval numeric
@attribute Number_of_Common_Melodic_Intervals numeric
@attribute Distance_Between_Most_Prevalent_Melodic_Intervals numeric
@attribute Prevalence_of_Most_Common_Melodic_Interval numeric
@attribute Relative_Prevalence_of_Most_Common_Melodic_Intervals numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Melodic_Thirds numeric
@attribute Melodic_Perfect_Fourths numeric
@attribute Melodic_Tritones numeric
@attribute Melodic_Perfect_Fifths numeric
@attribute Melodic_Sixths numeric
@attribute Melodic_Sevenths numeric
@attribute Melodic_Octaves numeric
@attribute Minor_Major_Melodic_Third_Ratio numeric
@attribute Melodic_Embellishments numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Average_Length_of_Melodic_Arcs numeric
@attribute Average_Interval_Spanned_by_Melodic_Arcs numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Second_Strongest_Rhythmic_Pulse numeric
@attribute Harmonicity_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Strength_of_Strongest_Rhythmic_Pulse numeric
@attribute Strength_of_Second_Strongest_Rhythmic_Pulse numeric
@attribute Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Combined_Strength_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Number_of_Strong_Rhythmic_Pulses numeric
@attribute Number_of_Moderate_Rhythmic_Pulses numeric
@attribute Number_of_Relatively_Strong_Rhythmic_Pulses numeric
@attribute Rhythmic_Looseness numeric
@attribute Polyrhythms numeric
@attribute Rhythmic_Variability numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Average_Note_Duration numeric
@attribute Variability_of_Note_Durations numeric
@attribute Maximum_Note_Duration numeric
@attribute Minimum_Note_Duration numeric
@attribute Average_Time_Between_Attacks numeric
@attribute Variability_of_Time_Between_Attacks numeric
@attribute Complete_Rests numeric
@attribute Longest_Complete_Rest numeric
@attribute Duration numeric
@data
'X1',0.7143,0.7143,0.2,0.2,2,2,3,3,3,5,74,75,0,1,2,2,2,0,2,3,5,0.5,0.6667,0.5,0.5,0,0.1667,0,0.3333,0,0,0,0,0,0,0,0.3333,1.5,3.5,1.25,80,40,2,0.3217,0.209,1.539,0.5307,5,5,5,0,0.4,0.03695,2.333,0,0.3571,0.1336,0.5,0.25,0.3745,0.1369,0.2857,3,3.5
'X1',0.5,0.5,0.5,0.5,7,5,3,3,3,7,74,71,0.5,0.5,2,3,1,0,3,3,2,0.3333,1,0.6667,0.3333,0,0.3333,0,0,0,0.3333,0,0,0,0,0,0.5,2,2,1,80,60,1.333,0.5,0.2542,1.967,0.7542,3,3,3,0,0.3333,0.04801,2,0,0.3125,0.125,0.5,0.25,0.3328,0.1443,0.4444,1.75,2.25
'X1',0.25,0.25,1,1,2,7,4,4,4,10,69,72,0.75,0.25,0,2,2,1,4.333,3,1,0.3333,1,0.3333,0,0.3333,0.6667,0,0,0,0,0,0.3333,0,0,0,0.3333,3,3,0,48,40,1.2,0.2658,0.2501,1.062,0.5159,4,4,4,0,0.25,0.03907,1.333,0,0.5625,0.4732,1.25,0.25,0.6662,0.5204,0.3077,2.75,3.25
'X1',0.4,0.4,0.5,0.5,4,7,4,4,4,7,67,70,0.8,0.2,7,3,2,0,2.5,4,1,0.25,1,0.5,0.25,0.25,0.5,0,0,0,0.25,0,0,0,0,0,0.6667,3,3,1,40,60,1.5,0.1729,0.1701,1.016,0.343,6,6,6,0,0.5,0.03168,1.667,0,0.4,0.3469,1,0.125,0.4683,0.359,0.3333,2.5,3
'X1',0.6,0.6,0.6667,0.6667,2,2,2,2,2,2,76,75,0,1,4,1,2,2,1.5,2,2,0.75,0.3333,0.25,0.25,0,0.75,0,0,0,0,0,0,0,0,0,0.3333,1.5,2,2,60,120,2,0.4136,0.2992,1.383,0.7128,3,3,3,0,0.6667,0.04588,1.25,0,0.7,0.2739,1,0.5,0.7495,0.2887,0.2222,4,4.5
'X1',0.25,0.25,1,1,2,5,4,4,4,7,67,70,0.75,0.25,2,3,1,2,3.333,3,1,0.3333,1,0.3333,0,0,0.3333,0.3333,0.3333,0,0,0,0,0,0,0,0.6667,3,7,0,120,60,2,0.4875,0.3333,1.462,0.8208,3,3,3,0,1,0.04839,1,0,0.75,0.5,1.5,0.5,0.4995,0,0.25,3.5,4
'X1',0.2857,0.2857,1,1,1,11,5,5,5,7,71,70,0.8571,0.1429,0,4,2,1,2.833,4,2,0.3333,1,0.5,0,0.3333,0.5,0.3333,0,0,0.1667,0,0,0,0,0,0.5,1.5,4,5,120,60,2,0.362,0.2924,1.238,0.6544,3,5,3,0,1,0.04084,1.75,0,0.4464,0.1417,0.5,0.125,0.437,0.1531,0.2424,3.625,4.125
'X1',0.2,0.2,1,1,4,4,5,5,5,9,62,67,1,0,2,3,0,2,3.5,4,1,0.25,1,0.5,0,0,0.25,0.5,0.25,0,0,0,0,0,1,0,0.25,4,9,0,60,120,2,0.3781,0.373,1.014,0.7512,3,3,3,0,0.6667,0.04595,1.25,0,0.6,0.2236,1,0.5,0.6245,0.25,0.25,3.5,4
'X1',0.6667,0.6667,0.5,0.5,3,9,2,2,2,3,74,73,0.3333,0.6667,2,1,2,3,3,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.5,2,3,2,120,80,1.5,0.5039,0.4961,1.016,1,2,2,2,0,0.5,0.05556,1.5,0,0.375,0.125,0.5,0.25,0.3745,0.1768,0.4706,1.625,2.125
'X1',0.5,0.5,0.5,0.5,3,3,3,3,3,3,69,67,1,0,9,1,3,1,2,3,1,0.3333,1,0.3333,0,0.3333,0.6667,0.3333,0,0,0,0,0,0,0,0,0.3333,3,3,3,60,120,2,0.2669,0.2583,1.033,0.5251,4,4,4,0,0.5,0.03909,2,0,0.3125,0.125,0.5,0.25,0.4995,0.433,0.5455,1.5,2.75
