@relation groupran
@attribute class {'X1','X2','X3','X4','X5'}
@attribute Prevalence_of_Most_Common_Pitch numeric
@attribute Prevalence_of_Most_Common_Pitch_Class numeric
@attribute Relative_Prevalence_of_Top_Pitches numeric
@attribute Relative_Prevalence_of_Top_Pitch_Classes numeric
@attribute Interval_Between_Most_Prevalent_Pitches numeric
@attribute Interval_Between_Most_Prevalent_Pitch_Classes numeric
@attribute Number_of_Common_Pitches numeric
@attribute Pitch_Variety numeric
@attribute Pitch_Class_Variety numeric
@attribute Range numeric
@attribute Most_Common_Pitch numeric
@attribute Mean_Pitch numeric
@attribute Importance_of_Middle_Register numeric
@attribute Importance_of_High_Register numeric
@attribute Most_Common_Pitch_Class numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Mean_Melodic_Interval numeric
@attribute Number_of_Common_Melodic_Intervals numeric
@attribute Distance_Between_Most_Prevalent_Melodic_Intervals numeric
@attribute Prevalence_of_Most_Common_Melodic_Interval numeric
@attribute Relative_Prevalence_of_Most_Common_Melodic_Intervals numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Melodic_Thirds numeric
@attribute Melodic_Perfect_Fourths numeric
@attribute Melodic_Tritones numeric
@attribute Melodic_Perfect_Fifths numeric
@attribute Melodic_Sixths numeric
@attribute Melodic_Sevenths numeric
@attribute Melodic_Octaves numeric
@attribute Melodic_Large_Intervals numeric
@attribute Minor_Major_Melodic_Third_Ratio numeric
@attribute Melodic_Embellishments numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Average_Length_of_Melodic_Arcs numeric
@attribute Average_Interval_Spanned_by_Melodic_Arcs numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Second_Strongest_Rhythmic_Pulse numeric
@attribute Harmonicity_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Strength_of_Strongest_Rhythmic_Pulse numeric
@attribute Strength_of_Second_Strongest_Rhythmic_Pulse numeric
@attribute Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Combined_Strength_of_Two_Strongest_Rhythmic_Pulses numeric
@attribute Number_of_Strong_Rhythmic_Pulses numeric
@attribute Number_of_Moderate_Rhythmic_Pulses numeric
@attribute Number_of_Relatively_Strong_Rhythmic_Pulses numeric
@attribute Rhythmic_Looseness numeric
@attribute Polyrhythms numeric
@attribute Rhythmic_Variability numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Average_Note_Duration numeric
@attribute Variability_of_Note_Durations numeric
@attribute Maximum_Note_Duration numeric
@attribute Minimum_Note_Duration numeric
@attribute Amount_of_Staccato numeric
@attribute Average_Time_Between_Attacks numeric
@attribute Variability_of_Time_Between_Attacks numeric
@attribute Complete_Rests numeric
@attribute Longest_Complete_Rest numeric
@attribute Duration numeric
@data
'X1',0.4286,0.4286,0.6667,0.6667,5,5,4,4,4,9,65,64,1,0,5,3,2,5,3.833,3,3,0.5,0.6667,0.1667,0,0,0.3333,0.1667,0.5,0,0,0,0,0,0,0,0,0.5,2,6.333,2.333,60,120,2,0.2,0.2,1,0.4,4,9,9,0,0.2222,0.02868,2.333,0,0.3036,0.09835,0.5,0.25,0,0.312,0.1046,0.32,2.625,3.125
'X1',0.5,0.5,0.5,0.5,7,2,3,3,3,9,74,72,0.25,0.75,2,2,2,2,3.667,2,5,0.6667,0.5,0.3333,0,0,0.6667,0,0,0,0.3333,0,0,0,0,0,0,0.6667,3,9,2,120,80,1.5,0.6667,0.3333,2,1,2,2,2,0,0.5,0.0586,2,0,0.3125,0.125,0.5,0.25,0,0.2495,0,0.4444,1.75,2.25
'X1',0.5,0.5,0.5,0.5,3,9,3,3,3,5,69,71,0.75,0.25,9,2,2,5,4.333,2,2,0.6667,0.5,0.3333,0,0,0,0.3333,0.6667,0,0,0,0,0,0,0,0,0.3333,1.5,4,2,120,48,2.5,0.4,0.2,2,0.6,4,4,4,0,0.5,0.04137,2,0,0.4375,0.125,0.5,0.25,0,0.4162,0.1443,0.3636,2.25,2.75
'X1',0.6,0.6,0.3333,0.3333,2,2,3,3,3,4,76,76,0,1,4,1,3,2,1.5,2,2,0.75,0.3333,0.25,0.25,0,0.75,0,0,0,0,0,0,0,0,0,0,0.6667,3,2,1.5,120,40,3,0.3333,0.1667,2,0.5,5,5,5,0,0.6,0.03674,1.667,0,0.4,0.3354,1,0.25,0,0.437,0.375,0.3333,2.5,3
'X1',0.4,0.4,0.5,0.5,3,2,4,4,4,8,74,74,0.2,0.8,2,2,1,5,3.75,3,3,0.5,0.5,0.25,0,0,0.25,0.25,0.5,0,0,0,0,0,0,0,0.2,0.25,2,6.5,3,60,48,1.25,0.75,0.25,3,1,2,2,2,0,0.5,0.06219,1,0.8839,0.85,0.3354,1,0.25,0,0.812,0.375,0.1905,4.75,5.25
'X1',0.5,0.5,0.5,0.5,4,11,3,3,3,5,71,70,1,0,11,2,1,0,2,3,1,0.3333,1,0.3333,0.3333,0.3333,0.3333,0,0.3333,0,0,0,0,0,0,0,0,0.5,2,1,1,120,60,2,0.5,0.25,2,0.75,3,3,3,0,0.6667,0.04801,2,0,0.375,0.1443,0.5,0.25,0,0.3328,0.1443,0.4,2,2.5
'X1',0.5714,0.5714,0.5,0.5,7,5,3,3,3,7,74,71,0.4286,0.5714,2,2,2,0,2.167,3,3,0.5,0.6667,1,0.5,0,0,0.3333,0,0,0.1667,0,0,0,0,0,0,0.3333,1.5,3,1.25,120,48,2.5,0.2667,0.2,1.333,0.4667,5,5,5,0,0.6,0.03559,2.333,0,0.2857,0.09449,0.5,0.25,0,0.2912,0.1021,0.3333,2.5,3
'X1',0.4,0.6,0.5,0.3333,12,2,4,4,3,12,74,70,0.6,0.4,2,1,3,2,6.5,4,1,0.25,1,0.5,0,0,0.25,0.25,0,0,0,0.25,0,0.25,0,0,0,0.25,2,12,3,120,80,1.5,0.5,0.3333,1.5,0.8333,3,3,3,0,0.6667,0.04891,2.5,0,0.25,0,0.25,0.25,0,0.2495,0,0.4444,1.75,2.25
'X1',0.3333,0.3333,1,1,2,2,3,3,3,3,64,65,1,0,4,1,3,1,1.5,2,1,0.5,1,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,120,0,120,1,0,0,1,1,1,1,0,1,0.07881,3,0,0.25,0,0.25,0.25,0,0.2495,0,0.5714,1.25,1.75
'X1',0.4,0.4,1,1,1,11,3,3,3,5,71,70,1,0,0,2,2,5,2.75,3,5,0.5,0.5,0.25,0.25,0.25,0.25,0,0.5,0,0,0,0,0,0,0,0,0.3333,1.5,5,1.5,120,40,3,0.6,0.2,3,0.8,3,3,3,0,1,0.05207,1.25,0,0.7,0.4472,1.5,0.5,0,0.7495,0.5,0.2222,4,4.5
